Número doprocesso - SIPAC/SIGAA,Ano do registro,Título da atividade,Nome do (a) Coordenador (a),Local de lotação do (a) Coordenador (a),Data de início da atividade,Data de termino da atividade,Relatório Final,Receita (Prevista),Receita (Realizada),
CR045-2023,2023,CURSO BÁSICO E INTERMEDIÁRIO PARA PLANILHAS ELETRÔNICAS (EXCEL 1) - TURMA 2023.2,SANDRA MIRANDA NEVES,IEPG,03/08/2023,15/12/2023,SIM,,,
CR046-2023,2023,GESTÃO DE RESÍDUOS INDUSTRIAIS,ROGERIO JOSE DA SILVA,IEM,14/08/2023,16/09/2023,SIM,,,
CR047-2023,2023,MACROS E VBA PARA PLANILHAS ELETRÔNICAS (EXCEL 2) - TURMA 2023.2,SANDRA MIRANDA NEVES,IEPG,03/08/2023,15/12/2023,SIM,,,
CR048-2023,2023,RUBRICAS DE AVALIACÃO,MARIA ELIZABETE VILLELA SANTIAGO,ICPA,11/08/2023,31/08/2023,NÃO,,,
CR049-2023,2023,TREINAMENTO DE PRIMEIROS SOCORROS PARA MEMBROS DOS PROJETOS ACADÊMICOS DE COMPETICÃO TECNOLÓGICA,PATRICIA KELLI SILVA DE OLIVEIRA,DTE,11/08/2023,31/08/2023,SIM,,,
CR050-2023,2023,INTRODUCÃO À INTELIGÊNCIA ARTIFICIAL - TURMA 5,JOSE ARNALDO BARRA MONTEVECHI,IEPG,28/08/2023,08/12/2023,SIM,,,
PJ180-2023,2023,APERFEICOAMENTO DE ANÁLISE QUALITATIVA DAS EQUIPES DE ATENDIMENTO EMERGENCIAL,ROBERTO AKIRA YAMACHITA,ISEE,01/08/2023,30/11/2023,NÃO,,,
PJ181-2023,2023,APLICACÃO DE MÉTODOS COMPUTACIONAIS PARA PREVISÃO DE DURACÃO E FREQUÊNCIA DE INTERRUPCÃO DE ENERGIA EM ESTACÕES DISTRIBUIDORAS - FASE 7,EDVARD MARTINS DE OLIVEIRA,IESTI,01/09/2023,31/12/2023,NÃO,,,
PJ182-2023,2023,VOLTK - FORMULA SAE - EV,FRANCISCO MOURA FILHO,IEI,10/08/2023,31/12/2023,NÃO,,,
PJ183-2023,2023,POPTEC - POPULARIZACÃO DE CONCEITOS E TECNOLOGIAS DE ENERGIAS RENOVÁVEIS EM ESCOLAS DE ENSINO MÉDIO DE ITABIRA-MG. TEMA: PRODUCÃO E GERACÃO DE ENERGIA COM HIDROGÊNIO VERDE.,RAFAEL BALBINO CARDOSO,ICPA,14/08/2023,13/11/2023,SIM,,,
PJ184-2023,2023,HEALTH HACKATHON ITABIRA - DESAFIO GESTÃO DE INDICADORES PREVINE BRASIL ITABIRA-MG,LILIAN BARROS PEREIRA CAMPOS,,17/07/2023,31/12/2023,NÃO,,,
PJ185-2023,2023,CAPACITACÃO BALL BLACK BELT: TURMA 2023,JOSE HENRIQUE DE FREITAS GOMES,IEPG,21/08/2023,30/11/2023,NÃO,R$ 13.440,0,
EV066-2023,2023,GESTÃO DA MANUTENCÃO DE EQUIPAMENTOS DE SAÚDE,JOSE ALBERTO FERREIRA FILHO,IESTI,21/08/2023,21/08/2023,SIM,,,
EV067-2023,2023,BATE-PAPO SOBRE LIDERANCA E BENEFÍCIOS DE SER MEJ,ISABELA MAGANHA,IEI,21/08/2023,21/08/2023,NÃO,,,
CR051-2023,2023,INTRODUCÃO À ESCRITA CIENTÍFICA,CLAUDIA ELIANE DA MATTA,ISEE,01/09/2023,30/11/2023,SIM,,,
PJ186-2023,2023,XIS - XADREZ E INCLUSÃO SOCIAL - INTERMEDIÁRIO,PATRICIA RODRIGUES DE ARAUJO,IESTI,22/08/2023,15/12/2023,NÃO,,,
PJ187-2023,2023,PROJETO AERODINÂMICO DE VENTILADOR AXIAL DE BAIXA PRESSÃO,RAMIRO GUSTAVO RAMIREZ CAMACHO,IEM,01/09/2023,31/12/2023,NÃO,R$ 31.372,55,
EV068-2023,2023,RECEPCÃO DE ALUNOS DO ENSINO MÉDIO PARA CONHECIMENTO DA ÁREA DE RECUPERACÃO DE ÁREAS DEGRADADAS - ENGENHARIA AMBIENTAL,NIVEA ADRIANA DIAS PONS,IRN,17/08/2023,17/08/2023,SIM,,,
EV069-2023,2023,SEMANA DO AR,ANA CAROLINA VASQUES FREITAS,ICPA,11/08/2023,25/08/2023,SIM,,,
EV070-2023,2023,JUBILEU DE PRATA - PRIMEIRA TURMA DO CURSO DE EHD,ANA PAULA MONI SILVA,IRN,23/08/2023,09/09/2023,SIM,,,
PJ188-2023,2023,QUITRUPE EM: O DIA QUE CHAPEUZINHO VESTIU VERDE,JULIANA MARIA SAMPAIO FURLANI,IFQ,01/08/2023,31/12/2023,NÃO,R$ 8.400,0,
PJ189-2023,2023,PIPOCANDO: CINEMA, EDUCACÃO E PIPOCA,CLAUDIO ERNANI MARTINS OLIVEIRA,IEI,01/08/2023,31/12/2023,NÃO,R$ 8.074,0
PJ190-2023,2023,FOTOGRAFIA DO ACERVO DO MUSEU THEODOMIRO SANTIAGO,CLEBER GONCALVES JUNIOR,IEPG,01/08/2023,31/12/2023,NÃO,R$ 7.000,0,
PJ191-2023,2023,CENTRO CULTURAL UNIFEI ITABIRA: EXPANDINDO A SEMENTE DO LABMUS,GLAUBER ZERBINI COSTAL,IEI,01/08/2023,31/12/2023,NÃO,R$ 7.000,0,
PJ192-2023,2023,BLUE BUNNIES – CHEERLEADING TEAM UNIFEI,DIEGO MAURICIO YEPES MAYA,IEM,01/08/2023,31/12/2023,NÃO,,,
