Número doprocesso - SIPAC/SIGAA;Ano do registro;Título da atividade;Nome do (a) Coordenador (a);Local de lotação do (a) Coordenador (a);Data de início da atividade;Data de termino da atividade;Relatório Final;Receita (Prevista);Receita (Realizada)
PJ094-2022;2022;PROJETO RECRIAR;THIAGO CLE DE OLIVEIRA;ISEE;01/04/2022;31/12/2022;NÃO;R$9.915,00;
EV009-2022;2022;CICLO DE SEMINARIOS DO PROGRAMA DE POS-GRADUACAO MULTICENTRICO EM QUIMICA DE MINAS GERAIS;MARCOS ROBERTO DE ABREU ALVES;IEI;27/04/2022;13/07/2022;NÃO;;
PJ109-2022;2022;TRILHAS DA APRENDIZAGEM;ALICE CRISTINA FIGUEIREDO;CEG-CI;01/04/2022;21/12/2022;NÃO;;
PJ108-2022;2022;LONGE DE CASA;FLAVIA LUDOVICO DE MATOS;DSQ;12/04/2022;06/05/2022;SIM;;
PJ106-2022;2022;GOVERNANCA E GESTAO DOS AMBIENTES PROMOTORES DE INOVACAO - DIMENSAO DE MECANISMOS DE GERACAO DE EMPREENDIMENTOS DA UNIFEI;GISELLE DE PAULA QUEIROZ CUNHA;ICPA;16/04/2022;31/12/2022;NÃO;R$9.600,00;
PJ101-2022;2022;ELABORACAO DE UM MODELO DE SISTEMA DE ESGOTAMENTO SANITARIO PARA ZONA RURAL: ESTUDO DE CASO DO BAIRRO RURAL PESSEGUEIRO / ITAJUBÁ;MARCIA VIANA LISBOA MARTINS;IRN;01/04/2022;31/12/2022;NÃO;R$1.000,00;
EV010-2022;2022;RODA DE CONVERSA E ACOLHIMENTO ACADÊMICO;ISABEL CRISTINA DA SILVA ARANTES ;IEPG;08/04/2022;29/04/2022;NÃO;;
PJ114-2022;2022;TECHNOLOGICAL PEDAGOGICAL CONTENT KNOWLEDGE (TPACK): PROFESSIONAL DEVELOPMENT IN UNIVERSITY TEACHING (MOOC);ANA PAULA SILVA FIGUEIREDO;IRN;11/04/2022;09/12/2022;NÃO;;
PJ113-2022;2022;ATUACAO DOS LICENCIADOS DA UNIFEI EM ATIVIDADES DE MONITORIA ON-LINE E PRESENCIAL PARA ALUNOS DA EDUCACAO BASICA: FORMACAO EM PRATICA DE SALA DE AULA;RODRIGO SILVA LIMA;IMC;02/05/2022;31/12/2022;NÃO;;
PJ112-2022;2022;METODOLOGIAS ATIVAS - MOOC;LUCIANA FATIMA DE ARAUJO GONCALVES FERREIRA;NEOA;11/04/2022;09/12/2022;NÃO;;
PJ111-2022;2022;ENSAIO DE ENVELHECIMENTO TERMICO EM MOTOR DE INDUCAO TRIFASICO;GUSTAVO PAIVA LOPES;ISEE;11/04/2022;30/06/2022;SIM;R$84.999,99;R$84.999,99
PJ110-2022;2022;CARACTERIZACAO DA MICROBACIA DO ISIDORO - SUB-BACIA DO RIO DAS VELHAS PARA FINS DE RECUPERACAO DE AREAS DEGRADADAS;ELIANE MARIA VIEIRA;ICPA;01/04/2022;31/12/2022;NÃO;R$15.741,48;
PJ107-2022;2022;GOVERNANCA E GESTAI DOS AMBIENTES PROMOTORES DE INOVACAO - DIMENSAO DOS ECOSSISTEMAS DE INOVACAO DO TERRITORIO DE ITABIRA E ITAJUBA ;GISELLE DE PAULA QUEIROZ CUNHA;ICPA;07/03/2022;31/12/2022;NÃO;R$9.600,00;
PJ083-2022;2022;CULTURA E MEIO AMBIENTE: NOS MEAMBROS DO ALTO SAPUCAÍ;RAFAEL DE PAIVA PEREIRA THIERS VIEIRA;DSQ;01/04/2022;31/12/2022;NÃO;R$9.902,87;
PG005-2022;2022;CRIACAO E/OU FORTALECIMENTO DE EMBIENTES PROMOTIRES DE INOVACAO;GISELLE DE PAULA QUEIROZ CUNHA;ICPA;16/02/2022;31/12/2022;NÃO;R$28.000,00;
CR016-2022;2022;FORRO DE SEGUNDA 2022;PATRICIA DA SILVA LOPES ALEXANDRINO;IEM;12/04/2022;31/07/2022;NÃO;;
PJ116-2022;2022;MONTAGEM DE UM EQUIPAMENTO DE SOLDAGEM POR DESCARGA CAPACITIVA;SANDRO METREVELLE MARCONDES DE LIMA E SILVA;IEM;14/04/2022;12/08/2022;NÃO;R$1.500,00;
PJ115-2022;2022;ENSAIO DE ENVELHECIMENTO TERMICO EM MOTOR DE INDUCAO TRIFASICO;GUSTAVO PAIVA LOPES;ISEE;12/04/2022;30/06/2022;SIM;R$85.000,00;R$85.000,00
PJ117-2022;2022;UNIVERSIDADE CULTURAL: ESTIMULANDO A CULTURA NO CAMPUS E NA CIDADE DE ITAJUBA;JOSE HAMILTON CHAVES GORGULHO JUNIOR;IEPG;25/04/2022;31/12/2022;NÃO;;
CR017-2022;2022;TECNICAS DE REDACAO CIENTIFICA E APRESENTACAO ORAL - 2022;ELIANE MARIA VIEIRA;ICPA;24/05/2022;28/06/2022;NÃO;;
PJ122-2022;2022;TAXONOMIA DE BLOOM - MOOC;DANIELLA RIBEIRO LOPES;NEOA;25/04/2022;09/12/2022;NÃO;;
PJ121-2022;2022;GERENCIAMENTO DE FORUNS ON-LINE - MOOC;DANIELLA RIBEIRO LOPES;NEOA;11/04/2022;09/12/2022;NÃO;;
PJ120-2022;2022;CENTRO DE ESTUDANTES VOLUNTÁRIOS AMIGOS DE ITAJUBA-CEVAI;LUIZ EUGENIO VENEZIANI PASIN;IEPG;06/04/2022;31/12/2022;NÃO;;
PJ119-2022;2022;FUNDCAO ASIMO;LUIZ LENARTH GABRIEL VERMAAS;ISEE;02/05/2022;31/12/2022;NÃO;;
PJ110-2022;2022;CARACTERIZACAO DA MICROBACIA DO IZIDORO - SUB-BACIA DO RIO  DAS VELHAS PARA FINS DE RECUPERACAO DE AREAS DEGRADADAS;ELIANE MARIA VIEIRA;ICPA;01/04/2022;31/12/2022;NÃO;R$15.741,48;
PJ096-2022;2022;NEWARMSTRONG;DEAN BICUDO KAROLAK;ICT;01/04/2022;31/12/2022;NÃO;R$9.998,00;
PJ118-2022;2022;CORETECH - DIVULGACAO DE CONHECIMENTO A RESPEITO DE TECNOLOGIA UTILIZANDO REDES SOCIAIS;WANDRE NUNES DE PINHO VELOSO;ICT;01/04/2022;31/12/2022;NÃO;R$9.600,00;
EV011-2022;2022;2º CICLO DE DEBATES - DIVERSIDADE E INCLUSAO;PAULO CEZAR NUNES JUNIOR;IFQ;01/05/2022;30/06/2022;SIM;;
PJ123-2022;2022;MOODLE BASICO - MOOC;DANIELLA RIBEIRO LOPES;NEOA;28/04/2022;09/12/2022;NÃO;;
PJ079-2022;2022;CANAL INCLUSIVO: PROMOVENDO INCLUSAO PELA INFORMACAO;ANA CAROLINA SALES OLIVEIRA;IFQ;01/04/2022;31/12/2022;NÃO;;
EV015-2022;2022;OFFICE DAY;DAILA DOS PASSOS VITORINO;DEI;02/05/2022;12/05/2022;NÃO;;
EV014-2022;2022;NÃO MEXE COM A MINHA COR - JORNADA SOBRE QUESTOES RACIAIS;PAULO CEZAR NUNES JUNIOR;IFQ;01/05/2022;31/05/2022;SIM;;
EV013-2022;2022;WORKSHOP CEU;DAILA DOS PASSOS VITORINO;DEI;02/05/2022;04/05/2022;NÃO;;
EV012-2022;2022;DEMODAY;DAILA DOS PASSOS VITORINO;PROEX;02/05/2022;28/05/2022;NÃO;;
EV020-2022;2022;9º SEMINARIO DE ENGENHARIA ELETRICA, CONTROLE E AUTOMACAO E COMPUTACAO;LUIZ FELIPE PUGLIESE;ICT;02/05/2022;31/10/2022;NÃO;;
EV019-2022;2022;OBSERVAÇÃO DO ECLIPSE LUNAR DE 15-16/MAIO/2022;GABRIEL RODRIGUES HICKEL;IFQ;08/05/2022;16/05/2022;SIM;;
EV018-2022;2022;MONITORIA E REFORÇO ESCOLAR - AMIGOS DE ITAJUBA;LUIZ EUGENIO VENEZIANI PASIN;IEPG;26/04/2022;30/07/2022;NÃO;;
EV017-2022;2022;ACAO REVITALIZAR - AMIGOS DE ITAJUBA;LUIZ EUGENIO VENEZIANI PASIN;IEPG;25/04/2022;30/07/2022;NÃO;;
