Número doprocesso - SIPAC/SIGAA,Ano do registro,Título da atividade,Nome do (a) Coordenador (a),Local de lotação do (a) Coordenador (a),Data de início da atividade,Data de termino da atividade,Relatório Final,Receita (Prevista),Receita (Realizada)
23088.006475/2017-49,2017,PROJETO PLAY - EMPREENDEDORISMO SOCIAL ,ADILSON DA SILVA MELLO ,IEPG,2/3/2017,10/12/2017,SIM, R$ -   , R$ -   
23088.006489/2017-62,2017,IV SEMINARIO DE RECURSOS NATURAIS,MARCELO DE PAULA CORREA,IRN,7/8/2017,11/8/2017,SIM, R$ -   , R$ -   
23088.006145/2017-53,2017,SEMINARIOS GIFT,ALEXIS ROA AGUIRRE,IFQ,15/3/2017,8/11/2017,SIM, R$ -   , R$ -   
23088.005872/2017-01,2017,II SEMINARIO NACIONAL DE POLITICAS CULTURAIS E AMBIENTAIS,CARLOS ALBERTO MAXIMO PIMENTA,IEPG,24/7/2017,24/10/2017,SIM, R$ -   , R$ -   
23088.006462/2017-70,2017,CURSO DE CURTA DURACAO – QPSE – PROTECAO DE SISTEMAS ELETRICOS,PAULO MARCIO DA SILVEIRA,ISEE,13/2/2017,17/2/2017,SIM, R$ -   ," R$ 8.795,66 "
23088.020477/2016-40,2016,CURSO DE QUALIFICACAO EM SISTEMAS ELETRICOS - ESTABILIDADE DE TENSAO EM SISTEMAS ELETRICOS DE POTENCIA,BENEDITO ISAIAS DE LIMA LOPES,ISEE,21/6/2016,23/6/2016,SIM, R$ -   ," R$ 4.550,00 "
23088.007270/2017-81,2017,WORKSHOPS SOBRE USABILIDADE E EQUIPAMENTOS MEDICOS EM ACORDO COM A ABNT NBR IEC 62366,RODRIGO MAXIMIANO ANTUNES DE ALMEIDA,IESTI,2/5/2017,8/8/2017,NÃO," R$ 2.000,00 ",
23088.006945/2017-74,2017,II JORNADA UNIVERSITARIA EM DEFESA DA REFORMA AGRARIA (JURA),LUIZ FELIPE SILVA,IRN,3/5/2017,3/5/2017,SIM, R$ -   , R$ -   
23088.007274/2017-69,2017,PARTICIPACAO NO CURSO DE CURTA DURACAO – QPSE – ELETRONICA DE POTENCIA APLICADA A SISTEMAS ELETRICOS,MAURICIO CAMPOS PASSARO,ISEE,24/10/2016,27/10/2016,SIM ," R$ 2.590,00 "," R$ 1.400,00 "
23088.007794/2017-71,2017,CULTIVAR-TE,ADHIMAR FLAVIO OLIVEIRA,IFQ,1/5/2017,31/12/2017,SIM ," R$ 9.690,00 "," R$ 6.527,61 "
