Número de registro na DPI ,Título do Projeto,Data de Registro,Início da vigência,Témino da vigência,Status,Órgão Financiador, Recursos Internos , Recursos Externos ,Bolsa Pesquisa,Mestrado/Doutorado,IC,Participação     Inicio e fim,Coordenador,Instituto Vinculado,Observações,Nota de mérito (projetos sem financiamento externo)
Atualização em 12-2020,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
205,Modelo de gestão do conhecimento em custos e em finanças para auxílio à tomada de decisões estratégicas,10/6/2013,jun/13,jun/14,Expirado,PADTEC,"R$ 0,00","R$ 498.600,00",0,1,1,06/2013 a 06/2014,Luiz Guilherme Azevedo Mauad,,Arquivado Caixa B,
206,Correções de altas ordens nas amplitudes de espalhamento em Teoria de Supercordas,10/6/2013,out/12,set/15,Expirado,,,,0,0,0,10/2012 a 09/2015,Ricardo Iván Medina Bascur,IMC,Arquivado Caixa C ,
207,Micro Turbina a Gás: Projeto e Teste de Protótipo,10/6/2013,ago/13,ago/15,Expirado,,,,0,0,0,08/2013 a 08/2015,Marco Antonio Rosa do Nascimento,IEM,Arquivado Caixa C ,
208,Utilização de emulsões e processos oxidativos avançados na descontaminação de terra Fuller,10/6/2013,abr/13,abr/15,Expirado,FAPEMIG,"R$ 0,00","R$ 31.785,00",0,0,0,04/2013 a 04/2015,Milady Renata Apolinário da Silva,IFQ,Arquivado Caixa C ,
209,Percepções do Meio Ambiente: Memória de Itajubenses,10/6/2013,fev/13,nov/13,Expirado,,,,0,0,0,02/2013 a 11/2013,Sylvia da Silveira Nunes,IEPG,Arquivado Caixa A,
210,Relações Humanas no Ambiente Laboral,10/6/2013,ago/13,ago/14,Expirado,,,,0,0,0,08/2013 a 08/2014,Sylvia da Silveira Nunes,IEPG,Arquivado Caixa B,
211,Engenharia e Responsabilidade Social,10/6/2013,ago/13,ago/14,Expirado,,,,0,0,0,018/2013 a08/2014,Sylvia da Silveira Nunes,IEPG,Arquivado Caixa B,
212,Análise do Efeito da Eliminação da Camada de Zinco na Qualidade da Soldagem a Ponto em Chapas de Aços galvanizados,10/6/2013,jan/13,dez/14,Expirado,,,,0,0,0,01/2012 a 12/2014,Sebastião Carlos da Costa,IEPG,Arquivado Caixa B,
213,Modelagem e Controle de sistemas Não-lineares por Base de Funções Ortonormais Generalizadas com Funções Internas,28/6/2013,mai/13,abr/15,Expirado,FAPEMIG,,"R$ 26.628,00",0,0,0,05/2013 a 04/2015,Jeremias Barbosa Machado,IESTI,Arquivado Caixa C,
214,"Informação Geográfica, Sustentabildiade e Simulação Computacional Aplicados ao Planejamento de Transporte e Logística ",1/7/2013,jul/13,dez/15,Expirado,FAPEMIG,,"R$ 48.000,00",0,0,0,07/2013 a 12/2015,Renato da Silva Lima,IEPG,Arquivado Caixa C,
215,Desenvolvimento de aplicativos para Dispositivos Móveis Inteligentes,1/8/2013,ago/13,jun/14,Expirado,,,,0,0,0,08/2013 a 07/2014,André Bernardi,IESTI,Arquivado Caixa B,
216,Desenvolvimento de software para o ensino do gerenciamento de projetos de novos produtos,14/8/2013,mar/13,mar/16,Expirado,CNPq,,"R$ 39.600,00",0,0,0,03/2013 a 03/2016,Carlos Eduardo Sanches da Silva,IEPG,Relatório final entregue em 07/2019,
217,Desenvolvimento de ferramentas para o ensino de astronomia e cosmologia em conjunto com a utilização de uma lousa virtual,1/9/2013,set/13,set/14,Expirado,MEC - PET,,"R$ 400,00",0,0,1,09/2013 a 09/2014,Adhimar Flávio Oliveira,IEPG,Arquivado Caixa B,
218,Análise ambiental e termodinâmica da produção de cimento aplicando resíduos industriais,1/10/2013,out/13,out/16,Expirado,CNPq,,"R$ 7.637,50",0,0,0,10/2013 a 10/2016,Maria Luiza Grillo Renó,,Relatório Final entregue em 22/07/2020,
219,Uma biografia de Antônio Rodrigues d'Oliveira,30/10/2013,nov/13,dez/14,Expirado,MEC - PET,,"R$ 400,00",0,0,1,11/2013 a 12/2014,Mariana Feiteiro Cavalari,IMC,Arquivado Caixa B,
220,Educação Estatística,1/11/2013,nov/13,nov/14,Expirado,MEC - PET,,"R$ 400,00",0,0,1,11/2013 a 11/2014,Hévilla Nobre Cezar,IMC,Arquivado Caixa B,
221,"Uso de Microalgas para tratamento de efluente de indústria de laticínios com produção de biomassa para aplicação em nutracêuticos, bionergia e nutrição animal",1/11/2013,nov/13,nov/17,Expirado,CNPq,,"R$ 627.173,00",0,0,2,11/2013 a 11/2017,Marcelo Chuei Matsudo,IRN,Prorrogação da vigência do projeto por Memorando nº 671/2016 - IRN - Relatório final entregue em 18/04/2018 (e-mail)  // Arquivado CAIXA 001/2020,
222,"Levatamento do potencial de eficiência energética numa planta industrial considerando os aspectos técnicos, energéticos e econômicos",1/11/2013,nov/13,out/14,Expirado,,,,0,0,0,11/2013 a 10/2014,Roberto Akira Yamachita,ISEE,Arquivado Caixa B,
223,"Teoria Qualitativa das Equações Diferenciais, Mecânica Celeste e Aplicações II",11/11/2013,mar/13,fev/16,Expirado,CNPq,,"R$ 39.600,00",0,0,0,03/2013 a 02/2016,Luis Fernando de Osório Mello,IMC,relatório final entregue  // Arquivado CAIXA 001/2020,
224,Estudos em Mecânica Celeste com ênfase em configurações centrais e aplicações,11/11/2013,ago/13,nov/15,Expirado,FAPEMIG,,"R$ 4.800,00",0,0,0,08/2013 a 11/2015,Luis Fernando de Osório Mello,IMC,relatório final entregue por e-mail dia 15/01/2016,
225,Equações diferenciais ordinárias com aplicações em Geometria e Mecânica Celeste,11/11/2013,nov/13,out/16,Expirado,CNPq,,"R$ 17.000,00",0,0,0,11/2013 a 10/2016,Luis Fernando de Osório Mello,IMC,Relatório final entregue em 06/12/2016 (e-mail)  // Arquivado CAIXA 001/2020,
226,Nanoestruturas Cx(BN)y: estabilidade estrutural e propriedades eletrônicas de materiais com potencial aplicação tecnológica,12/11/2013,abr/13,mar/15,Expirado,FAPEMIG,,"R$ 19.456,50",0,0,0,04/2013 a 03/2015,Ana Cláudia Monteiro Carvalho,IFQ,Arquivado Caixa B,
227,Caracterização de compósitos poliméricos e materiais cerâmicos,12/11/2013,mar/13,fev/16,Expirado,CNPq,,"R$ 39.600,00",1,0,0,03/2013 a 02/2016,Carla Patrícia Lacerda Rubinger,IFQ,Relatório Final entregue em 09/2019,
228,Pertubarção de buracos negros aplicada à correspondência AdS/CFT,13/11/2013,out/13,out/16,Expirado,CNPq,,"R$ 10.000,00",0,0,0,10/2013 a 10/2016,Alan Bendasoli Pavan,IFQ,Relatório final entregue no dia 14/05/2019 // Arquivado em CAIXA 01/2020,
229,Caos em sistemas experimentais com aplicações em engenharia,13/11/2013,nov/13,out/16,Expirado,CNPq,,"R$ 16.000,00",2,1,0,11/2013 a 10/2016,José Carlos Sartorelli,,,
230,"Fabricação, Caracterização e Otimização de Painés Fotovoltaícos DSSC de Baixo Custo, utilizando impressora de jato de tinta",13/11/2013,out/13,set/16,Expirado,CNPq,,"R$ 31.000,00",0,0,0,10/2013 a 09/2016,Rero Marques Rubinger,IFQ,Relatório Final entregue em 22/07/2020,
