N�;Nome do Projeto;In��cio;T�mino;Status;�rg�o Financiador;Recursos Internos ;Recursos Externos ;Participa��o     Inicio e fim;Equipe;Instituto Vinculado;Cargo (Aluno/ Coordenador/ Professor);Carga Hor�ria;Observa��es;Nota;;
10;Ambiente na Internet para Professores Desenvolverem Aplicações Educacionais com Realidade Aumentada;01/01/2011;01/01/2014;;CNPq;R$ 0,00;R$ 50.383,00;01/2011 a 01/2014;Tereza Gonçalves Kirner;IMC;Docente;8;;;;
10;Ambiente na Internet para Professores Desenvolverem Aplicações Educacionais com Realidade Aumentada;01/01/2011;01/01/2014;;CNPq;R$ 0,00;R$ 50.383,00;03/2011 a 02/2012;Fernanda Maria Villela Reis, 15583;;Discente;12;;;;
10;Ambiente na Internet para Professores Desenvolverem Aplicações Educacionais com Realidade Aumentada;01/01/2011;01/01/2014;;CNPq;R$ 0,00;R$ 50.383,00;10/2011 a 03/2013;André Henrique de Oliveira Monteiro, 21309;;Discente;12;;;;
10;Ambiente na Internet para Professores Desenvolverem Aplicações Educacionais com Realidade Aumentada;01/01/2011;01/01/2014;;CNPq;R$ 0,00;R$ 50.383,00;03/2011 a 12/2012;Lara Moura Silva Saúde, 18864;;Discente;12;;;;
10;Ambiente na Internet para Professores Desenvolverem Aplicações Educacionais com Realidade Aumentada;01/01/2011;01/01/2014;;CNPq;;R$ 50.383,00;10/2011 a 06/2012;Sara Midori Mendes Tomisaki, 21259;;Discente;12;;;;
10;Ambiente na Internet para Professores Desenvolverem Aplicações Educacionais com Realidade Aumentada;01/01/2011;01/01/2014;;CNPq;;R$ 50.383,00;03/2012 a 02/2013;Raryel Costa Souza, 16846;;Discente;12;;;;
10;Ambiente na Internet para Professores Desenvolverem Aplicações Educacionais com Realidade Aumentada;01/01/2011;01/01/2014;;CNPq;R$ 0,00;R$ 50.383,00;04/2012 a 12/2012;Guilherme Silva Nascimento, 21483;;Discente;12;;;;
11;Capacidade Inovadora de Empresas Industriais e Desempenho Econômico: Análise Econométrica para a Mesorregião Sul/Sudeste de Minas - Estudo para o Período de 2000 até 2010;01/01/2011;01/03/2014;Expirado;;R$ 0,00;;04/2012 a 12/2014;Fred Leite Siqueira Campos;IEPG;Coordenador;4;Arquivado Caixa B;;;
11;Capacidade Inovadora de Empresas Industriais e Desempenho Econômico: Análise Econométrica para a Mesorregião Sul/Sudeste de Minas - Estudo para o Período de 2000 até 2011;01/01/2011;01/03/2014;;;;;03/2012 a 03/2014;Alexsander Kleber Santana, 22002;;Discente;12;;;;
11;Capacidade Inovadora de Empresas Industriais e Desempenho Econômico: Análise Econométrica para a Mesorregião Sul/Sudeste de Minas - Estudo para o Período de 2000 até 2012;01/01/2011;01/03/2014;;;;;03/2012 a 03/2014;Israel Galhardo, 15734;;Discente;12;;;;
11;Capacidade Inovadora de Empresas Industriais e Desempenho Econômico: Análise Econométrica para a Mesorregião Sul/Sudeste de Minas - Estudo para o Período de 2000 até 2010;01/01/2011;01/12/2012;;;R$ 0,00;;01/2011 a 12/2012;Juvêncio Bezerra Loiola Junior;;Docente;5;;;;
11;Capacidade Inovadora de Empresas Industriais e Desempenho Econômico: Análise Econométrica para a Mesorregião Sul/Sudeste de Minas - Estudo para o Período de 2000 até 2010;01/01/2011;01/12/2012;;;R$ 0,00;;01/2011 a 12/2014;Antônio Suerlilton Barbosa da Silva;;Discente;4;;;;
12;Inovação, Pesquisa e Prospecção Tecnológica: Estudo de Caso à UNIFEI para o Período 2008-2010;01/01/2011;01/09/2014;Expirado;;R$ 0,00;;09/2011 a 09/2014;Fred Leite Siqueira Campos;IEPG;Coordenador;3;Arquivado Caixa B;;;
12;Inovação, Pesquisa e Prospecção Tecnológica: Estudo de Caso à UNIFEI para o Período 2008-2011;01/01/2011;01/09/2014;;;;;01/2011 a 12/2012;Juvêncio Bezerra Loiola Junior;;Docente;5;;;;
12;Inovação, Pesquisa e Prospecção Tecnológica: Estudo de Caso à UNIFEI para o Período 2008-2010;01/01/2011;01/12/2012;;;R$ 0,00;;09/2012 a 09/2014;Diogo Augusto Soares Pimenta;;Docente;12;;;;
12;Inovação, Pesquisa e Prospecção Tecnológica: Estudo de Caso à UNIFEI para o Período 2008-2010;01/01/2011;01/12/2012;;;R$ 0,00;;09/2011 a 09/2014;Antônio Suerlilton Barbosa da Silva;;Discente;3;;;;
13;Caracterização Hidrológica da sal-Bacia do Ribeirão Piranguçu em Itajubá, Estado de Minas Gerais;01/01/2011;01/12/2011;Expirado;;R$ 0,00;;01/2011 a 12/2011;Marcelo Ribeiro Barison;IRN;Coordenador;8;Arquivado Caixa A;;;
13;Caracterização Hidrológica da sal-Bacia do Ribeirão Piranguçu em Itajubá, Estado de Minas Gerais;01/01/2011;01/12/2011;;;R$ 0,00;;01/2011 a 12/2011;Vinícius Gouveia Scartezini de Rezende, 15710;;Discente;12;;;;
14;Propriedades Elétricas e Magnéticas de Semicondutore III-V e IV-VI para aplicação em Spintronica;01/03/2011;01/02/2014;Expirado;FAPEMIG;R$ 0,00;;03/2011 a 02/2014;Rero Marques Rubinger;IFQ;Coordenador;5;Arquivado Caixa B;;;
15;Estudo e análise das propriedades do alimínio 7075 sobre a solubilização e envelhecimento;01/01/2011;01/03/2012;Expirado;PET/SESU - MEC;R$ 0,00;;04/2011 a 03/2012;Mirian de Lourdes Noronha Motta Melo;IEM;Coordenador;4;Arquivado Caixa A;;;
