Código,Data Início,Data Fim,TÍTULO DO PROJETO,Tipo,Órgão financiador, Coordenador/Coordenador Local,UA Coordenador,Situação
PVDI565-2024,07/11/2024,06/12/2027,Análise Experimental e Numérica em Transferência de Calor com Ênfase no Uso de Problemas Inversos,Projeto com financiamento externo,FAPEMIG,SANDRO METREVELLE MARCONDES DE LIMA E SILVA,IEM,Vigente
PIDI554-2024,01/11/2024,31/10/2027,O SITE LIBREX UTILIZADO NA MEDIAÇÃO DO ENSINO DA LIBRAS NA EDUCAÇÃO SUPERIOR,Projeto sem financiamento externo,Não possui,ANA CAROLINA SALES OLIVEIRA,IFQ,Vigente
PVDI558-2024,01/11/2024,31/10/2027,ESPALHAMENTO DE LUZ VISÍVEL NA ALTA ATMOSFERA DE EXOPLANETAS GIGANTES GASOSOS,Projeto sem financiamento externo,Não possui,GABRIEL RODRIGUES HICKEL,IFQ,Vigente
PVDI534-2024,01/11/2024,31/10/2027,Análise de Viabilidade de Produtos de eHealth por meio de Infraestruturas Computacionais Distribuídas e Inteligentes,Projeto sem financiamento externo,Não possui,EDVARD MARTINS DE OLIVEIRA,IESTI,Vigente
PVDI551-2024,01/11/2024,31/10/2027,Estudo das variáveis da etapa de recozimento no processo de galvanização de chapas de aço ferrítico-perlítico,Projeto sem financiamento externo,Não possui,GEOVANI RODRIGUES,IEM,Vigente
PVDI542-2024,01/11/2024,31/10/2027,Modelagem e Simulação de Vôo de aeronaves tipo Tilt-Rotors.,Projeto sem financiamento externo,Não possui,MARCELO SANTIAGO DE SOUSA,IEM,Vigente
PVDI555-2024,01/11/2024,31/10/2027,Controle de Posicionamento e Rastreamento de Trajetória em Nano Drones,Projeto sem financiamento externo,Não possui,YOHAN ALI DIAZ MENDEZ,IEM,Vigente
PVDI556-2024,01/11/2024,31/10/2027,OBTENÇÃO DE PROTEÍNAS E INVESTIGAÇÃO DO POTENCIAL ANTIOXIDANTE E ANTIMICROBIANO DE HIDROLISADOS PROTEICOS DE LEVEDURA RESIDUAL DE CERVEJARIA,Projeto sem financiamento externo,Não possui,ALINE MASSIA PEREIRA,IRN,Vigente
PIDI549-2024,01/11/2024,31/10/2027,Análise e otimização de projeto de vias rodoviárias: pavimentação e geometria viária como fatores críticos de desempenho,Projeto sem financiamento externo,Não possui,MARIA RACHEL DE ARAUJO RUSSO,IRN,Vigente
PVDI552-2024,01/11/2024,31/10/2027,Estudo do desempenho mecânico e estrutural dos materiais cimentícios autoadensáveis e avanços inovadores em acústica e vibro acústica,Projeto sem financiamento externo,Não possui,PAULO CESAR GONCALVES,IRN,Vigente
PVDI566-2024,08/08/2024,08/04/2026,Desenvolvimento e Simulação de Módulo de Gerenciamento Energético para Sistema de Produção de H2 com Compensação Harmônica e Reativa,Projeto com financiamento externo,"Projetos de P&D registrados na PROEX - PS SOLUÇÕES INDÚSTRIA, COMÉRCIO, REPRESENTAÇÕES E CONSULTORIA LTDA",RONDINELI RODRIGUES PEREIRA,IESTI,Vigente
PVDI567-2024,24/10/2024,24/10/2027,ESTABILIDADE ASSINTÓTICA GLOBAL E O 16° PROBLEMA DE HILBERT,Projeto com financiamento externo,FAPEMIG,FABIO SCALCO DIAS,IMC,Vigente
PVDI571-2025,02/01/2025,01/01/2028,Aliança Professor-Pesquisador para a Investigação da Aprendizagem em Matemática - APPIAM,Projeto com financiamento externo,FAPEMIG,FLAVIA SUELI FABIANI MARCATTO,IMC,Vigente
